ticker,firm,county_fips,county_name,state,lat,lon
NKE,"Nike, Inc.",2130,Warren,Ohio,45.5601883,-123.0587907
NI,NiSource,1077,Metcalfe,Kentucky,41.4828144,-87.3328139
NDSN,Nordson Corporation,1071,McCracken,Kentucky,41.4553232,-81.9179174
NSC,Norfolk Southern,1029,Franklin,Kentucky,33.7544657,-84.3898151
NTRS,Northern Trust,1077,Metcalfe,Kentucky,41.8755616,-87.6244212
NOC,Northrop Grumman,1019,Clinton,Kentucky,38.8629185,-77.188257
NCLH,Norwegian Cruise Line Holdings,1069,Martin,Kentucky,25.7741566,-80.1935973
NRG,NRG Energy,1097,Scott,Kentucky,29.7589382,-95.3676974
NUE,Nucor,1019,Clinton,Kentucky,35.2272086,-80.8430827
NVDA,Nvidia,2016,Lamoure,North Dakota,37.3541132,-121.955174
NVR,"NVR, Inc.",1019,Clinton,Kentucky,38.953282,-77.3464516
ORLY,O’Reilly Automotive,1033,Grant,Kentucky,37.2081729,-93.2922715
OXY,Occidental Petroleum,1097,Scott,Kentucky,29.7589382,-95.3676974
ODFL,Old Dominion,1019,Clinton,Kentucky,35.8831786,-80.081817
OMC,Omnicom Group,1019,Clinton,Kentucky,40.7127281,-74.0060152
ON,ON Semiconductor,2016,Lamoure,North Dakota,33.4484367,-112.074141
OKE,Oneok,1075,Menifee,Kentucky,36.1563122,-95.9927516
ORCL,Oracle Corporation,1097,Scott,Kentucky,30.2711286,-97.7436995
OTIS,Otis Worldwide,1019,Clinton,Kentucky,41.7198216,-72.8320435
PCAR,Paccar,2130,Warren,Ohio,47.6144219,-122.192337
PKG,Packaging Corporation of America,1077,Metcalfe,Kentucky,42.2586461,-87.8407055
PLTR,Palantir Technologies,2016,Lamoure,North Dakota,39.7392364,-104.984862
PANW,Palo Alto Networks,2016,Lamoure,North Dakota,37.3541132,-121.955174
PSKY,Paramount Skydance Corporation,2016,Lamoure,North Dakota,34.0536909,-118.242766
PH,Parker Hannifin,1071,McCracken,Kentucky,41.4996574,-81.6936772
PAYX,Paychex,1071,McCracken,Kentucky,43.1301133,-77.4759588
PAYC,Paycom,1075,Menifee,Kentucky,35.4729886,-97.5170536
PYPL,PayPal,2016,Lamoure,North Dakota,37.3361663,-121.890591
PEP,PepsiCo,1019,Clinton,Kentucky,41.0409305,-73.7145746
